Zip_Code,CountyID,County_Name
98208,53061,Snohomish County
98201,53061,Snohomish County
98201,53061,Snohomish County
98201,53061,Snohomish County
98684,53011,Clark County
98682,53011,Clark County
98684,53011,Clark County
98662,53011,Clark County
98683,53011,Clark County
98664,53011,Clark County
98684,53011,Clark County
98684,53011,Clark County
98682,53011,Clark County
98664,53011,Clark County
98684,53011,Clark County
98662,53011,Clark County
98684,53011,Clark County
98682,53011,Clark County
98662,53011,Clark County
98662,53011,Clark County
98683,53011,Clark County
98682,53011,Clark County
98682,53011,Clark County
98684,53011,Clark County
98683,53011,Clark County
98684,53011,Clark County
98682,53011,Clark County
98682,53011,Clark County
98682,53011,Clark County
98684,53011,Clark County
98682,53011,Clark County
98683,53011,Clark County
98684,53011,Clark County
98682,53011,Clark County
98607,53011,Clark County
98683,53011,Clark County
98683,53011,Clark County
98682,53011,Clark County
98682,53011,Clark County
98607,53011,Clark County
98684,53011,Clark County
98664,53011,Clark County
98682,53011,Clark County
99131,53065,Stevens County
98023,53033,King County
98023,53033,King County
98001,53033,King County
98023,53033,King County
98003,53033,King County
98003,53033,King County
98001,53033,King County
98001,53033,King County
98023,53033,King County
98001,53033,King County
98023,53033,King County
98003,53033,King County
98003,53033,King County
98023,53033,King County
98003,53033,King County
98031,53033,King County
98032,53033,King County
98001,53033,King County
98031,53033,King County
98023,53033,King County
98001,53033,King County
98003,53033,King County
98198,53033,King County
98023,53033,King County
98023,53033,King County
98023,53033,King County
98003,53033,King County
98003,53033,King County
98023,53033,King County
98001,53033,King County
98023,53033,King County
98003,53033,King County
98003,53033,King County
98003,53033,King County
98003,53033,King County
98001,53033,King County
98023,53033,King County
98003,53033,King County
98003,53033,King County
98032,53033,King County
98003,53033,King County
98003,53033,King County
98003,53033,King County
98003,53033,King County
98023,53033,King County
98030,53033,King County
98003,53033,King County
98023,53033,King County
98262,53073,Whatcom County
98248,53073,Whatcom County
98240,53073,Whatcom County
98248,53073,Whatcom County
98248,53073,Whatcom County
98248,53073,Whatcom County
98248,53073,Whatcom County
98248,53073,Whatcom County
98248,53073,Whatcom County
98248,53073,Whatcom County
98248,53073,Whatcom County
98248,53073,Whatcom County
98248,53073,Whatcom County
98354,53053,Pierce County
98424,53053,Pierce County
98354,53053,Pierce County
98354,53053,Pierce County
98372,53053,Pierce County
98424,53053,Pierce County
99337,53005,Benton County
99337,53005,Benton County
99337,53005,Benton County
98444,53053,Pierce County
98446,53053,Pierce County
98444,53053,Pierce County
98446,53053,Pierce County
98445,53053,Pierce County
98445,53053,Pierce County
98445,53053,Pierce County
98444,53053,Pierce County
98445,53053,Pierce County
98444,53053,Pierce County
98444,53053,Pierce County
98444,53053,Pierce County
98445,53053,Pierce County
98444,53053,Pierce County
98444,53053,Pierce County
99030,53063,Spokane County
99030,53063,Spokane County
99030,53063,Spokane County
99130,53075,Whitman County
99130,53075,Whitman County
99161,53075,Whitman County
98619,53039,Klickitat County
98619,53039,Klickitat County
98620,53039,Klickitat County
98620,53039,Klickitat County
98620,53039,Klickitat County
98620,53039,Klickitat County
99116,53047,Okanogan County
99116,53047,Okanogan County
99116,53047,Okanogan County
98930,53077,Yakima County
98930,53077,Yakima County
98930,53077,Yakima County
98930,53077,Yakima County
98930,53077,Yakima County
98930,53077,Yakima County
98930,53077,Yakima County
98930,53077,Yakima County
98932,53077,Yakima County
98932,53077,Yakima County
98932,53077,Yakima County
98252,53061,Snohomish County
98252,53061,Snohomish County
98252,53061,Snohomish County
98252,53061,Snohomish County
98252,53061,Snohomish County
98252,53061,Snohomish County
98546,53045,Mason County
99224,53063,Spokane County
98674,53011,Clark County
98502,53067,Thurston County
99134,53043,Lincoln County
99134,53043,Lincoln County
99115,53025,Grant County
99115,53025,Grant County
99115,53025,Grant County
98947,53077,Yakima County
98923,53077,Yakima County
98923,53077,Yakima County
98923,53077,Yakima County
98168,53033,King County
98188,53033,King County
98146,53033,King County
98168,53033,King County
98188,53033,King County
98198,53033,King County
98146,53033,King County
98166,53033,King County
98146,53033,King County
98148,53033,King County
98168,53033,King County
98198,53033,King County
98166,53033,King County
98188,53033,King County
98198,53033,King County
98198,53033,King County
98146,53033,King County
98198,53033,King County
98198,53033,King County
98166,53033,King County
98146,53033,King County
98168,53033,King County
98166,53033,King County
98188,53033,King County
98168,53033,King County
98148,53033,King County
98148,53033,King County
98148,53033,King County
98146,53033,King County
98148,53033,King County
98106,53033,King County
98108,53033,King County
98148,53033,King County
98188,53033,King County
98188,53033,King County
98146,53033,King County
98146,53033,King County
98146,53033,King County
98188,53033,King County
98106,53033,King County
98148,53033,King County
98146,53033,King County
98106,53033,King County
98146,53033,King County
98148,53033,King County
98606,53011,Clark County
98606,53011,Clark County
98606,53011,Clark County
98584,53045,Mason County
98550,53027,Grays Harbor County
98550,53027,Grays Harbor County
98550,53027,Grays Harbor County
98550,53027,Grays Harbor County
98550,53027,Grays Harbor County
98550,53027,Grays Harbor County
98256,53061,Snohomish County
98006,53033,King County
98059,53033,King County
98059,53033,King County
98027,53033,King County
98027,53033,King County
98027,53033,King County
98059,53033,King County
98059,53033,King County
98059,53033,King County
98075,53033,King County
98075,53033,King County
98027,53033,King County
98029,53033,King County
98065,53033,King County
98027,53033,King County
98029,53033,King County
98008,53033,King County
98075,53033,King County
98029,53033,King County
98075,53033,King County
98075,53033,King County
98059,53033,King County
98029,53033,King County
98059,53033,King County
98075,53033,King County
98029,53033,King County
98027,53033,King County
99335,53021,Franklin County
98625,53015,Cowlitz County
98625,53015,Cowlitz County
99140,53019,Ferry County
99337,53005,Benton County
99338,53005,Benton County
99336,53005,Benton County
99336,53005,Benton County
99336,53005,Benton County
99336,53005,Benton County
99336,53005,Benton County
99336,53005,Benton County
99336,53005,Benton County
99337,53005,Benton County
99336,53005,Benton County
99337,53005,Benton County
99336,53005,Benton County
99336,53005,Benton County
99337,53005,Benton County
99338,53005,Benton County
99336,53005,Benton County
99337,53005,Benton County
99338,53005,Benton County
99338,53005,Benton County
99336,53005,Benton County
99336,53005,Benton County
99336,53005,Benton County
99336,53005,Benton County
99338,53005,Benton County
99336,53005,Benton County
99338,53005,Benton County
99337,53005,Benton County
99338,53005,Benton County
99338,53005,Benton County
98042,53033,King County
98042,53033,King County
98031,53033,King County
98058,53033,King County
98042,53033,King County
98032,53033,King County
98030,53033,King County
98031,53033,King County
98042,53033,King County
98058,53033,King County
98042,53033,King County
98031,53033,King County
98031,53033,King County
98031,53033,King County
98030,53033,King County
98030,53033,King County
98031,53033,King County
98031,53033,King County
98030,53033,King County
98042,53033,King County
98042,53033,King County
98030,53033,King County
98010,53033,King County
98042,53033,King County
98042,53033,King County
98042,53033,King County
98058,53033,King County
98030,53033,King County
98042,53033,King County
98058,53033,King County
98032,53033,King County
98042,53033,King County
98058,53033,King County
98031,53033,King County
98198,53033,King County
98042,53033,King County
98030,53033,King County
98031,53033,King County
98030,53033,King County
98032,53033,King County
98030,53033,King County
98030,53033,King County
98030,53033,King County
98030,53033,King County
99141,53065,Stevens County
99141,53065,Stevens County
99141,53065,Stevens County
99141,53065,Stevens County
99320,53005,Benton County
99320,53005,Benton County
99320,53005,Benton County
99320,53005,Benton County
98934,53037,Kittitas County
98934,53037,Kittitas County
98926,53037,Kittitas County
98934,53037,Kittitas County
98628,53039,Klickitat County
98257,53057,Skagit County
98257,53057,Skagit County
98257,53057,Skagit County
99143,53075,Whitman County
99143,53075,Whitman County
98629,53011,Clark County
98629,53011,Clark County
98629,53011,Clark County
98629,53011,Clark County
98258,53061,Snohomish County
98258,53061,Snohomish County
98258,53061,Snohomish County
98258,53061,Snohomish County
98258,53061,Snohomish County
98258,53061,Snohomish County
98258,53061,Snohomish County
98258,53061,Snohomish County
98258,53061,Snohomish County
98258,53061,Snohomish County
98258,53061,Snohomish County
98258,53061,Snohomish County
98258,53061,Snohomish County
98258,53061,Snohomish County
98033,53033,King County
98052,53033,King County
98033,53033,King County
98052,53033,King County
98034,53033,King County
98053,53033,King County
98034,53033,King County
98052,53033,King County
98034,53033,King County
98052,53033,King County
98034,53033,King County
98034,53033,King County
98034,53033,King County
98034,53033,King County
98033,53033,King County
98033,53033,King County
98033,53033,King County
98033,53033,King County
98033,53033,King County
98033,53033,King County
98052,53033,King County
98052,53033,King County
98052,53033,King County
98034,53033,King County
98033,53033,King County
98052,53033,King County
98034,53033,King County
98074,53033,King County
98052,53033,King County
98033,53033,King County
98074,53033,King County
98053,53033,King County
98052,53033,King County
98033,53033,King County
98053,53033,King County
98074,53033,King County
98077,53033,King County
98074,53033,King County
98074,53033,King County
98034,53033,King County
98053,53033,King County
98033,53033,King County
98052,53033,King County
