NAME,STREET,CITY,STATE,ZIP,NMCNTY,LAT,LON,NMCBSA,NMCSA
Pioneer Elementary School,2301 M ST SE,AUBURN,WA,98002,King County,47.288301,-122.214499,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Gildo Rey Elementary School,1005 37TH ST SE,AUBURN,WA,98002,King County,47.278308,-122.216019,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Terminal Park Elementary School,1101 D ST SE,AUBURN,WA,98002,King County,47.298127,-122.224638,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Washington Elementary School,20 E ST NE,AUBURN,WA,98002,King County,47.308475,-122.222183,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Ilalko Elementary School,301 ORAVETZ PL SE,AUBURN,WA,98092,King County,47.264049,-122.227455,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Mt Baker Middle School,620 37TH ST SE,AUBURN,WA,98002,King County,47.274561,-122.220173,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Lake View Elementary School,16401 SE 318TH ST,AUBURN,WA,98092,King County,47.316677,-122.122265,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Hazelwood Elementary School,11815 SE 304TH ST,AUBURN,WA,98092,King County,47.32906,-122.183667,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Rainier Middle School,30620 116TH AVE SE,AUBURN,WA,98092,King County,47.327443,-122.185481,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Auburn Riverside High School,501 ORAVETZ RD SE,AUBURN,WA,98092,King County,47.267756,-122.222204,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Special Ed School,502 4TH ST NE,AUBURN,WA,98002,King County,47.31064,-122.222671,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Auburn Mountainview High School,28900 124th AVE SE,Auburn,WA,98092,King County,47.341942,-122.172983,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Lakeland Hills Elementary,1020 Evergreen Way SE,AUBURN,WA,98092,Pierce County,47.254605,-122.215318,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Arthur Jacobsen Elementary,29205 132nd Ave SE,Auburn,WA,98092,King County,47.34477,-122.164395,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Lake Washington Technical Academy,11605 132nd Ave NE,Kirkland,WA,98034,King County,47.70305,-122.164941,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Open Doors at LWIT,11605 132nd Ave NE,Kirkland,WA,98034,King County,47.705063,-122.166943,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Washington State School for the Blind,2214 E. 13th St.,Vancouver,WA,98661,Clark County,45.630693,-122.647553,"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Salem, OR-WA"
Washington Youth Academy,1207 Carver St,Bremerton,WA,98312,Kitsap County,47.55338,-122.681811,"Bremerton-Silverdale, WA","Seattle-Tacoma, WA"
Chief Kitsap Academy,15838 Sandy Hook Rd,Poulsbo,WA,98370,Kitsap County,47.706264,-122.579903,"Bremerton-Silverdale, WA","Seattle-Tacoma, WA"
Bainbridge High School,9330 NE High School RD,Bainbridge Island,WA,98110,Kitsap County,47.638149,-122.523006,"Bremerton-Silverdale, WA","Seattle-Tacoma, WA"
Capt. Charles Wilkes Elem School,12781 Madison Ave NE,Bainbridge Island,WA,98110,Kitsap County,47.678348,-122.5217,"Bremerton-Silverdale, WA","Seattle-Tacoma, WA"
Capt Johnston Blakely Elem Sch,4704 Blakely Ave NE,Bainbridge Island,WA,98110,Kitsap County,47.606558,-122.53595,"Bremerton-Silverdale, WA","Seattle-Tacoma, WA"
Ordway Elementary,8555 Madison Ave NE,Bainbridge Island,WA,98110,Kitsap County,47.639978,-122.522117,"Bremerton-Silverdale, WA","Seattle-Tacoma, WA"
Woodward Middle School,9100 NE Sportsman Club Rd,Bainbridge Island,WA,98110,Kitsap County,47.645227,-122.52915,"Bremerton-Silverdale, WA","Seattle-Tacoma, WA"
Odyssey Multiage Program,9530 NE High School Rd,Bainbridge Island,WA,98110,Kitsap County,47.636409,-122.521969,"Bremerton-Silverdale, WA","Seattle-Tacoma, WA"
Sakai Intermediate,9343 NE Sportsman Club Rd,Bainbridge Island,WA,98110,Kitsap County,47.648374,-122.527295,"Bremerton-Silverdale, WA","Seattle-Tacoma, WA"
Mosaic Home Education Partnership,9530 NE High School Rd,Bainbridge Island,WA,98110,Kitsap County,47.636236,-122.523838,"Bremerton-Silverdale, WA","Seattle-Tacoma, WA"
Eagle Harbor High School,9530 NE High School Rd,Bainbridge Island,WA,98110,Kitsap County,47.636292,-122.521924,"Bremerton-Silverdale, WA","Seattle-Tacoma, WA"
Bainbridge Special Education Services,8489 Madison Ave NE,Bainbridge Island,WA,98110,Kitsap County,47.638748,-122.52176,"Bremerton-Silverdale, WA","Seattle-Tacoma, WA"
Excel Public Charter School,19300 108th Ave SE,Kent,WA,98031,King County,47.42843,-122.195371,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Summit Public School: Olympus,409 Puyallup Ave,Tacoma,WA,98421,Pierce County,47.24103,-122.429121,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Summit Public School: Sierra,1025 S King St,Seattle,WA,98104,King County,47.59792,-122.318401,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Rainier Prep,10211 12th Ave S,Seattle,WA,98168,King County,47.51151,-122.318361,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
SOAR Academy Public Charter School,2136 Martin Luther King Jr. Wa,Tacoma,WA,98405,Pierce County,47.24029,-122.449481,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Spokane International Academy Elementary,2706 E Queen,Spokane,WA,99217,Spokane County,47.703967,-117.370565,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
Destiny Middle School,1301 E. 34th Street,Tacoma,WA,98404,Pierce County,47.23267,-122.412981,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
PRIDE Prep School,811 E. Sprague,Spokane,WA,99202,Spokane County,47.657663,-117.398305,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
ESA 112 Special Ed Co-Op,2500 NE 65th Avenue,Vancouver,WA,98661,Clark County,45.63909,-122.605811,"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Salem, OR-WA"
Rainier Valley Leadership Academy,3900 S. Holly Park Drive,Seattle,WA,98118,King County,47.536344,-122.282882,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Summit Public School: Atlas,9601 35th Avenue SW,Seattle,WA,98126,King County,47.51701,-122.377671,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Amboy Middle School,22115 NE CHELATCHIE RD,AMBOY,WA,98601,Clark County,45.913277,-122.442993,"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Salem, OR-WA"
Battle Ground High School,300 W MAIN ST,BATTLE GROUND,WA,98604,Clark County,45.781855,-122.540032,"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Salem, OR-WA"
Glenwood Heights Primary,9716 NE 134TH ST,VANCOUVER,WA,98662,Clark County,45.719055,-122.572016,"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Salem, OR-WA"
Laurin Middle School,13601 NE 97TH AVE,VANCOUVER,WA,98662,Clark County,45.721191,-122.571783,"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Salem, OR-WA"
Pleasant Valley Middle,14320 NE 50TH AVE,VANCOUVER,WA,98686,Clark County,45.726913,-122.62169,"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Salem, OR-WA"
Pleasant Valley Primary,14320 NE 50TH AVE,VANCOUVER,WA,98686,Clark County,45.726326,-122.623186,"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Salem, OR-WA"
Yacolt Primary,406 W YACOLT RD,YACOLT,WA,98675,Clark County,45.867233,-122.411393,"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Salem, OR-WA"
Summit View High School,11104 NE 149th St,Brush Prairie,WA,98606,Clark County,45.730131,-122.560097,"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Salem, OR-WA"
Prairie High School,11311 NE 119th St,BRUSH PRAIRIE,WA,98662,Clark County,45.704844,-122.555445,"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Salem, OR-WA"
Preschool Infant Other,11104 NE 149th St,Brush Prairie,WA,98606,Clark County,45.730141,-122.560098,"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Salem, OR-WA"
Captain Strong,1002 NW 6TH AVENUE,BATTLE GROUND,WA,98604,Clark County,45.78844,-122.544889,"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Salem, OR-WA"
CAM Academy,715 NW ONSDORFF BLVD.,BATTLE GROUND,WA,98604,Clark County,45.79096,-122.545821,"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Salem, OR-WA"
Homelink River,610-C SW EATON BLVD.,BATTLE GROUND,WA,98604,Clark County,45.595138,-122.407381,"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Salem, OR-WA"
Daybreak Middle,1900 NW 20th Ave,Battle Ground,WA,98604,Clark County,45.79419,-122.560581,"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Salem, OR-WA"
Daybreak Primary,1900 NW 20th Ave,Battle Ground,WA,98604,Clark County,45.79419,-122.560581,"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Salem, OR-WA"
Tukes Valley Middle School,20601 NE 167th Avenue,Battle Ground,WA,98604,Clark County,45.77245,-122.495861,"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Salem, OR-WA"
Tukes Valley Primary,20601 NE 167th Avenue,Battle Ground,WA,98604,Clark County,45.77245,-122.495861,"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Salem, OR-WA"
Chief Umtuch Middle,700 NW 9th St,Battle Ground,WA,98604,Clark County,45.787309,-122.546095,"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Salem, OR-WA"
Maple Grove K-8,12500 Northeast 199th Street,Battle Ground,WA,98604,Clark County,45.767858,-122.543814,"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Salem, OR-WA"
Open Doors Battle Ground,11104 NE 149th St,Brush Prairie,WA,98606,Clark County,45.73155,-122.560421,"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Salem, OR-WA"
Summit View Middle School,700 NW 20th Ave,Battle Ground,WA,98604,Clark County,45.78579,-122.558691,"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Salem, OR-WA"
DB Youth Services,11104 NE 149th St,Brush Prairie,WA,98606,Clark County,45.73155,-122.560421,"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Salem, OR-WA"
Ardmore Elementary School,16616 NE 32nd Street,Bellevue,WA,98008,King County,47.639591,-122.117467,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Bellevue High School,10416 Wolverine Way,Bellevue,WA,98004,King County,47.604668,-122.197234,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Bennett Elementary School,301 151st PL NE,Bellevue,WA,98007,King County,47.61226,-122.138731,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Cherry Crest Elementary School,12400 N.E. 32nd St.,Bellevue,WA,98005,King County,47.640434,-122.173832,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Chinook Middle School,2001 98th Ave NE,Bellevue,WA,98004,King County,47.62785,-122.210751,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Clyde Hill Elementary,9601 NE 24th Street,Bellevue,WA,98004,King County,47.63083,-122.211361,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Eastgate Elementary School,4255 153rd Avenue SE,Bellevue,WA,98006,King County,47.570069,-122.137628,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Enatai Elementary School,10700 SE 25th Street,Bellevue,WA,98004,King County,47.589144,-122.198366,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Highland Middle School,15027 NE Bel-Red Road,Bellevue,WA,98007,King County,47.625672,-122.140555,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Interlake Senior High School,16245 NE 24th Street,Bellevue,WA,98008,King County,47.629384,-122.123292,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
Lake Hills Elementary,14310 SE 12th Street,Bellevue,WA,98007,King County,47.601098,-122.148762,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
