NAME,CITY,STATE,ZIP,CNTY,NMCNTY,CD,SLDL,SLDU,SCHOOLYEAR
Lakeview Terrace Elementary,MOSES LAKE,WA,98837,53025,Grant County,5304,53013,53013,2017-2018
Larson Heights Elementary,MOSES LAKE,WA,98837,53025,Grant County,5304,53013,53013,2017-2018
Longview Elementary,MOSES LAKE,WA,98837,53025,Grant County,5304,53013,53013,2017-2018
Moses Lake High School,MOSES LAKE,WA,98837,53025,Grant County,5304,53013,53013,2017-2018
North Elementary,MOSES LAKE,WA,98837,53025,Grant County,5304,53013,53013,2017-2018
Peninsula Elementary,MOSES LAKE,WA,98837,53025,Grant County,5304,53013,53013,2017-2018
Midway Elementary,MOSES LAKE,WA,98837,53025,Grant County,5304,53013,53013,2017-2018
Frontier Middle School,MOSES LAKE,WA,98837,53025,Grant County,5304,53013,53013,2017-2018
Sage Point Elementary School,Moses Lake,WA,98837,53025,Grant County,5304,53013,53013,2017-2018
Park Orchard Elementary School,Moses Lake,WA,98837,53025,Grant County,5304,53013,53013,2017-2018
Columbia Basin Technical Skills Center,Moses Lake,WA,98837,53025,Grant County,5304,53013,53013,2017-2018
Skill Source Learning Center,Moses Lake,WA,98837,53025,Grant County,5304,53013,53013,2017-2018
Endeavor Middle School,Moses Lake,WA,98837,53025,Grant County,5304,53013,53013,2017-2018
Mossyrock Elementary School,MOSSYROCK,WA,98564,53041,Lewis County,5303,53020,53020,2017-2018
Mossyrock Jr./Sr. High School,MOSSYROCK,WA,98564,53041,Lewis County,5303,53020,53020,2017-2018
Mossyrock Academy,Mossyrock,WA,98564,53041,Lewis County,5303,53020,53020,2017-2018
Harrah Elementary School,Harrah,WA,98933,53077,Yakima County,5304,53014,53014,2017-2018
White Swan High School,White Swan,WA,98952,53077,Yakima County,5304,53014,53014,2017-2018
Mount Adams Middle School,White Swan,WA,98952,53077,Yakima County,5304,53014,53014,2017-2018
American Academy,White Swan,WA,98952,53077,Yakima County,5304,53014,53014,2017-2018
Acme Elementary,ACME,WA,98220,53073,Whatcom County,5301,53042,53042,2017-2018
Harmony Elementary,BELLINGHAM,WA,98226,53073,Whatcom County,5301,53042,53042,2017-2018
Mount Baker Senior High,DEMING,WA,98244,53073,Whatcom County,5301,53042,53042,2017-2018
Mount Baker Junior High,DEMING,WA,98244,53073,Whatcom County,5301,53042,53042,2017-2018
Kendall Elementary,MAPLE FALLS,WA,98266,53073,Whatcom County,5301,53042,53042,2017-2018
Educational Resource Center,DEMING,WA,98244,53073,Whatcom County,5301,53042,53042,2017-2018
Mount Baker Academy,Acme,WA,98220,53073,Whatcom County,5301,53042,53042,2017-2018
Mount Pleasant School,Washougal,WA,98671,53059,Skamania County,5303,53014,53014,2017-2018
East Valley High School,Yakima,WA,98901,53077,Yakima County,5304,53015,53015,2017-2018
East Valley Central Middle School,YAKIMA,WA,98901,53077,Yakima County,5304,53015,53015,2017-2018
Moxee Elementary,Moxee,WA,98936,53077,Yakima County,5304,53015,53015,2017-2018
Terrace Heights Elementary,Yakima,WA,98901,53077,Yakima County,5304,53015,53015,2017-2018
East Valley Elementary,Yakima,WA,98901,53077,Yakima County,5304,53015,53015,2017-2018
Jefferson Elementary,Mount Vernon,WA,98273,53057,Skagit County,5301,53010,53010,2017-2018
La Venture Middle School,Mount Vernon,WA,98273,53057,Skagit County,5301,53040,53040,2017-2018
Lincoln Elementary School,Mount Vernon,WA,98274,53057,Skagit County,5301,53010,53010,2017-2018
Madison Elementary,Mount Vernon,WA,98273,53057,Skagit County,5301,53040,53040,2017-2018
Mount Vernon High School,Mount Vernon,WA,98273,53057,Skagit County,5301,53040,53040,2017-2018
Washington Elementary School,Mount Vernon,WA,98273,53057,Skagit County,5301,53040,53040,2017-2018
Mount Vernon Special Ed,Mount Vernon,WA,98273,53057,Skagit County,5301,53040,53040,2017-2018
Centennial Elementary School Mt Vernon,Mount Vernon,WA,98273,53057,Skagit County,5301,53040,53040,2017-2018
Little Mountain Elementary,Mount Vernon,WA,98274,53057,Skagit County,5301,53010,53010,2017-2018
Mount Baker Middle School,Mount Vernon,WA,98274,53057,Skagit County,5301,53010,53010,2017-2018
Skagit Family Learning Center MVSD,Mount Vernon,WA,98273,53057,Skagit County,5301,53010,53010,2017-2018
Northwest Career & Technical Academy,Mount Vernon,WA,98273,53057,Skagit County,5301,53040,53040,2017-2018
Mount Vernon Open Doors,Mount Vernon,WA,98273,53057,Skagit County,5301,53040,53040,2017-2018
Voyager Middle School,Everett,WA,98204,53061,Snohomish County,5302,53021,53021,2017-2018
Fairmount Elementary,Everett,WA,98204,53061,Snohomish County,5302,53021,53021,2017-2018
Mariner High School,Everett,WA,98204,53061,Snohomish County,5302,53021,53021,2017-2018
Olivia Park Elementary,Everett,WA,98204,53061,Snohomish County,5302,53021,53021,2017-2018
Olympic View Middle School,Mukilteo,WA,98275,53061,Snohomish County,5302,53021,53021,2017-2018
Serene Lake Elementary,Edmonds,WA,98026,53061,Snohomish County,5302,53021,53021,2017-2018
Harbour Pointe Middle School,Mukilteo,WA,98275,53061,Snohomish County,5302,53021,53021,2017-2018
Kamiak High School,Mukilteo,WA,98275,53061,Snohomish County,5302,53021,53021,2017-2018
Endeavour Elementary,Mukilteo,WA,98275,53061,Snohomish County,5302,53021,53021,2017-2018
Mukilteo Elementary,Mukilteo,WA,98275,53061,Snohomish County,5302,53021,53021,2017-2018
Picnic Point Elementary,Edmonds,WA,98026,53061,Snohomish County,5302,53021,53021,2017-2018
Explorer Middle School,Everett,WA,98204,53061,Snohomish County,5302,53038,53038,2017-2018
ACES High School,Everett,WA,98204,53061,Snohomish County,5302,53038,53038,2017-2018
Sno-Isle Skills Center,Everett,WA,98204,53061,Snohomish County,5302,53038,53038,2017-2018
Challenger Elementary,Everett,WA,98204,53061,Snohomish County,5302,53038,53038,2017-2018
Discovery Elementary,Everett,WA,98208,53061,Snohomish County,5302,53021,53021,2017-2018
Columbia Elementary,Mukilteo,WA,98275,53061,Snohomish County,5302,53021,53021,2017-2018
Horizon Elementary,Everett,WA,98204,53061,Snohomish County,5302,53038,53038,2017-2018
Special Services,Everett,WA,98204,53061,Snohomish County,5302,53038,53038,2017-2018
ECEAP,Mukilteo,WA,98275,53061,Snohomish County,5302,53021,53021,2017-2018
Odyssey Elementary,Everett,WA,98204,53061,Snohomish County,5302,53021,53021,2017-2018
Lake Stickney Elementary School,Lynnwood,WA,98087,53061,Snohomish County,5302,53021,53021,2017-2018
Pathfinder Kindergarten Center,Everett,WA,98204,53061,Snohomish County,5302,53021,53021,2017-2018
Mukilteo Reengagement Academy Open Doors,Everett,WA,98204,53061,Snohomish County,5302,53038,53038,2017-2018
Naches Valley Middle School,Naches,WA,98937,53077,Yakima County,5304,53014,53014,2017-2018
Naches Valley High School,Naches,WA,98937,53077,Yakima County,5304,53014,53014,2017-2018
Naches Valley Elementary School,Naches,WA,98937,53077,Yakima County,5304,53014,53014,2017-2018
Napavine Elementary,NAPAVINE,WA,98565,53041,Lewis County,5303,53020,53020,2017-2018
Napavine Jr Sr High School,NAPAVINE,WA,98565,53041,Lewis County,5303,53020,53020,2017-2018
Naselle Elementary,NASELLE,WA,98638,53049,Pacific County,5303,53019,53019,2017-2018
Naselle Youth Camp School,NASELLE,WA,98638,53049,Pacific County,5303,53019,53019,2017-2018
Naselle Jr Sr High Schools,NASELLE,WA,98638,53049,Pacific County,5303,53019,53019,2017-2018
Naselle Homelink,Naselle,WA,98638,53049,Pacific County,5303,53019,53019,2017-2018
Nespelem Elementary,NESPELEM,WA,99155,53047,Okanogan County,5304,53012,53012,2017-2018
Newport High School,Newport,WA,99156,53051,Pend Oreille County,5305,53007,53007,2017-2018
Sadie Halstead Middle School,Newport,WA,99156,53051,Pend Oreille County,5305,53007,53007,2017-2018
Stratton Elementary,Newport,WA,99156,53051,Pend Oreille County,5305,53007,53007,2017-2018
Pend Oreille River School,Newport,WA,99156,53051,Pend Oreille County,5305,53007,53007,2017-2018
Lake Spokane Elementary,Nine Mile Falls,WA,99026,53065,Stevens County,5305,53007,53007,2017-2018
Nine Mile Falls Elementary,Nine Mile Falls,WA,99026,53063,Spokane County,5305,53007,53007,2017-2018
Lakeside High School,Nine Mile Falls,WA,99026,53065,Stevens County,5305,53007,53007,2017-2018
Lakeside Middle School,Nine Mile Falls,WA,99026,53065,Stevens County,5305,53007,53007,2017-2018
Re-Engagement School (Nine Mile Falls),Nine Mile Falls,WA,99026,53065,Stevens County,5305,53007,53007,2017-2018
Nooksack Valley Middle School,Everson,WA,98247,53073,Whatcom County,5301,53042,53042,2017-2018
Nooksack Valley High School,Everson,WA,98247,53073,Whatcom County,5301,53042,53042,2017-2018
Sumas Elementary,Sumas,WA,98295,53073,Whatcom County,5301,53042,53042,2017-2018
Everson Elementary,Everson,WA,98247,53073,Whatcom County,5301,53042,53042,2017-2018
Nooksack Elementary,Everson,WA,98247,53073,Whatcom County,5301,53042,53042,2017-2018
Nooksack Valley Special Services,Everson,WA,98247,53073,Whatcom County,5301,53042,53042,2017-2018
North Beach Senior High School,Ocean Shores,WA,98569,53027,Grays Harbor County,5306,53024,53024,2017-2018
Ocean Shores Elementary,Ocean Shores,WA,98569,53027,Grays Harbor County,5306,53024,53024,2017-2018
Pacific Beach Elementary School,Pacific Beach,WA,98571,53027,Grays Harbor County,5306,53024,53024,2017-2018
North Beach Junior High School,Ocean Shores,WA,98569,53027,Grays Harbor County,5306,53024,53024,2017-2018
Basin City Elem,Mesa,WA,99343,53021,Franklin County,5304,53009,53009,2017-2018
Connell Elem,Connell,WA,99326,53021,Franklin County,5304,53009,53009,2017-2018
Connell High School,Connell,WA,99326,53021,Franklin County,5304,53009,53009,2017-2018
Mesa Elem,Mesa,WA,99343,53021,Franklin County,5304,53009,53009,2017-2018
Robert L Olds Junior High School,Connell,WA,99326,53021,Franklin County,5304,53009,53009,2017-2018
Palouse Junction High School,Connell,WA,99326,53021,Franklin County,5304,53009,53009,2017-2018
North Franklin Virtual Academy,Connell,WA,99326,53021,Franklin County,5304,53009,53009,2017-2018
Connell Preschool,Connell,WA,99326,53021,Franklin County,5304,53009,53009,2017-2018
CRCC-Open Doors,Connell,WA,99326,53021,Franklin County,5304,53009,53009,2017-2018
Poulsbo Middle School,Poulsbo,WA,98370,53035,Kitsap County,5306,53023,53023,2017-2018
North Kitsap High School,Poulsbo,WA,98370,53035,Kitsap County,5306,53023,53023,2017-2018
Hilder Pearson Elementary,Poulsbo,WA,98370,53035,Kitsap County,5306,53023,53023,2017-2018
Poulsbo Elementary School,Poulsbo,WA,98370,53035,Kitsap County,5306,53023,53023,2017-2018
Suquamish Elementary School,Suquamish,WA,98392,53035,Kitsap County,5306,53023,53023,2017-2018
David Wolfle Elementary,Kingston,WA,98346,53035,Kitsap County,5306,53023,53023,2017-2018
Vinland Elementary,Poulsbo,WA,98370,53035,Kitsap County,5306,53023,53023,2017-2018
Richard Gordon Elementary,Kingston,WA,98346,53035,Kitsap County,5306,53023,53023,2017-2018
Kingston Middle School,Kingston,WA,98346,53035,Kitsap County,5306,53023,53023,2017-2018
Special Programs,Poulsbo,WA,98370,53035,Kitsap County,5306,53023,53023,2017-2018
Pal Program,Kingston,WA,98346,53035,Kitsap County,5306,53023,53023,2017-2018
Middle School Options,Kingston,WA,98346,53035,Kitsap County,5306,53023,53023,2017-2018
Kingston High School,Kingston,WA,98346,53035,Kitsap County,5306,53023,53023,2017-2018
Belfair Elementary,Belfair,WA,98528,53045,Mason County,5306,53035,53035,2017-2018
North Mason Senior High School,Belfair,WA,98528,53045,Mason County,5306,53035,53035,2017-2018
Hawkins Middle School,Belfair,WA,98528,53045,Mason County,5306,53035,53035,2017-2018
Sand Hill Elementary,Belfair,WA,98528,53045,Mason County,5306,53035,53035,2017-2018
James A. Taylor High School,Belfair,WA,98528,53045,Mason County,5306,53035,53035,2017-2018
North Mason Homelink Program,Belfair,WA,98528,53045,Mason County,5306,53035,53035,2017-2018
North River School,Cosmopolis,WA,98537,53049,Pacific County,5303,53019,53019,2017-2018
Horizons Elementary,Lacey,WA,98513,53067,Thurston County,5310,53022,53022,2017-2018
Komachin Middle School,Lacey,WA,98503,53067,Thurston County,5310,53022,53022,2017-2018
Chinook Middle School,Lacey,WA,98516,53067,Thurston County,5310,53022,53022,2017-2018
Evergreen Forest Elementary,Lacey,WA,98503,53067,Thurston County,5310,53002,53002,2017-2018
Lacey Elementary,Lacey,WA,98503,53067,Thurston County,5310,53022,53022,2017-2018
Lakes Elementary School,Lacey,WA,98503,53067,Thurston County,5310,53022,53022,2017-2018
Lydia Hawk Elementary,Lacey,WA,98503,53067,Thurston County,5310,53002,53002,2017-2018
Mountain View Elementary,Lacey,WA,98503,53067,Thurston County,5310,53022,53022,2017-2018
Nisqually Middle School,Lacey,WA,98503,53067,Thurston County,5310,53002,53002,2017-2018
North Thurston High School,Lacey,WA,98506,53067,Thurston County,5310,53022,53022,2017-2018
Olympic View Elementary,Lacey,WA,98516,53067,Thurston County,5310,53002,53002,2017-2018
South Bay Elementary,Lacey,WA,98506,53067,Thurston County,5310,53022,53022,2017-2018
Timberline High School,Lacey,WA,98503,53067,Thurston County,5310,53022,53022,2017-2018
River Ridge High School,Lacey,WA,98513,53067,Thurston County,5310,53022,53022,2017-2018
Woodland Elementary,Lacey,WA,98503,53067,Thurston County,5310,53022,53022,2017-2018
Meadows Elementary,Lacey,WA,98513,53067,Thurston County,5310,53002,53002,2017-2018
Pleasant Glade Elementary,Lacey,WA,98516,53067,Thurston County,5310,53022,53022,2017-2018
South Sound High School,Lacey,WA,98516,53067,Thurston County,5310,53022,53022,2017-2018
Seven Oaks Elementary,Lacey,WA,98503,53067,Thurston County,5310,53002,53002,2017-2018
Aspire Middle School,Lacey,WA,98513,53067,Thurston County,5310,53022,53022,2017-2018
Chambers Prairie Elementary School,Lacey,WA,98513,53067,Thurston County,5310,53022,53022,2017-2018
Salish Middle School,Lacey,WA,98516,53067,Thurston County,5310,53022,53022,2017-2018
Northport Elementary School,Northport,WA,99157,53065,Stevens County,5305,53007,53007,2017-2018
Northport High School,Northport,WA,99157,53065,Stevens County,5305,53007,53007,2017-2018
Northport Homelink Program,Northport,WA,99157,53065,Stevens County,5305,53007,53007,2017-2018
Skyview Middle School,Bothell,WA,98021,53061,Snohomish County,5301,53001,53001,2017-2018
Arrowhead Elementary,Kenmore,WA,98028,53033,King County,5301,53046,53046,2017-2018
Bothell High School,Bothell,WA,98011,53033,King County,5301,53001,53001,2017-2018
C O Sorenson,Bothell,WA,98011,53033,King County,5301,53001,53001,2017-2018
Canyon Creek Elementary,Bothell,WA,98021,53061,Snohomish County,5301,53001,53001,2017-2018
Canyon Park Middle School,Bothell,WA,98021,53061,Snohomish County,5301,53001,53001,2017-2018
Cottage Lake Elementary,Woodinville,WA,98077,53033,King County,5301,53045,53045,2017-2018
Crystal Springs Elementary,Bothell,WA,98021,53061,Snohomish County,5301,53001,53001,2017-2018
Inglemoor HS,Kenmore,WA,98028,53033,King County,5301,53046,53046,2017-2018
Kenmore Elementary,Kenmore,WA,98028,53033,King County,5301,53046,53046,2017-2018
Kenmore Middle School,Kenmore,WA,98028,53033,King County,5301,53046,53046,2017-2018
Leota Middle School,Woodinville,WA,98072,53033,King County,5301,53045,53045,2017-2018
Lockwood Elementary,Bothell,WA,98021,53061,Snohomish County,5302,53001,53001,2017-2018
Maywood Hills Elementary,Bothell,WA,98011,53033,King County,5301,53001,53001,2017-2018
Moorlands Elementary,Kenmore,WA,98028,53033,King County,5301,53046,53046,2017-2018
Northshore Middle School,Bothell,WA,98011,53033,King County,5301,53001,53001,2017-2018
Secondary Academy for Success,Bothell,WA,98021,53061,Snohomish County,5301,53001,53001,2017-2018
Shelton View Elementary,Bothell,WA,98021,53061,Snohomish County,5301,53001,53001,2017-2018
Wellington Elementary,Woodinville,WA,98072,53033,King County,5301,53045,53045,2017-2018
Westhill Elementary,Bothell,WA,98011,53033,King County,5301,53001,53001,2017-2018
Woodin Elementary,Bothell,WA,98011,53033,King County,5301,53001,53001,2017-2018
Kokanee Elementary,Woodinville,WA,98072,53061,Snohomish County,5301,53001,53001,2017-2018
Hollywood Hill Elementary,Woodinville,WA,98072,53033,King County,5301,53045,53045,2017-2018
Sunrise Elementary,Redmond,WA,98052,53033,King County,5301,53045,53045,2017-2018
Woodinville HS,Woodinville,WA,98072,53033,King County,5301,53045,53045,2017-2018
Bear Creek Elementary,Woodinville,WA,98077,53033,King County,5301,53045,53045,2017-2018
Fernwood Elementary,Bothell,WA,98012,53061,Snohomish County,5301,53001,53001,2017-2018
Frank Love Elementary,Bothell,WA,98021,53061,Snohomish County,5301,53001,53001,2017-2018
Woodmoor Elementary,Bothell,WA,98011,53033,King County,5301,53001,53001,2017-2018
East Ridge Elementary,Woodinville,WA,98077,53033,King County,5301,53045,53045,2017-2018
Timbercrest Middle School,Woodinville,WA,98077,53033,King County,5301,53045,53045,2017-2018
Northshore Networks,Bothell,WA,98021,53061,Snohomish County,5301,53001,53001,2017-2018
Northshore Special Services,Bothell,WA,98021,53061,Snohomish County,5301,53001,53001,2017-2018
Woodinville Community Center,Bothell,WA,98011,53033,King County,5301,53001,53001,2017-2018
Northshore Online School,Bothell,WA,98021,53061,Snohomish County,5301,53001,53001,2017-2018
Northshore Primary Center,Bothell,WA,98021,53061,Snohomish County,5301,53001,53001,2017-2018
North Creek High School,Bothell,WA,98012,53061,Snohomish County,5301,53001,53001,2017-2018
Broadview Elementary,Oak Harbor,WA,98277,53029,Island County,5302,53010,53010,2017-2018
Crescent Harbor Elem,Oak Harbor,WA,98277,53029,Island County,5302,53010,53010,2017-2018
North Whidbey Middle School,Oak Harbor,WA,98277,53029,Island County,5302,53010,53010,2017-2018
Oak Harbor Elementary,Oak Harbor,WA,98277,53029,Island County,5302,53010,53010,2017-2018
Oak Harbor High School,Oak Harbor,WA,98277,53029,Island County,5302,53010,53010,2017-2018
Oak Harbor Intermediate School,Oak Harbor,WA,98277,53029,Island County,5302,53010,53010,2017-2018
Olympic View Elem,Oak Harbor,WA,98277,53029,Island County,5302,53010,53010,2017-2018
Special Education,Oak Harbor,WA,98277,53029,Island County,5302,53010,53010,2017-2018
Hillcrest Elementary,Oak Harbor,WA,98277,53029,Island County,5302,53010,53010,2017-2018
Homeconnection,Oak Harbor,WA,98277,53029,Island County,5302,53010,53010,2017-2018
iGrad Academy,Oak Harbor,WA,98277,53029,Island County,5302,53010,53010,2017-2018
Oakesdale Elementary School,Oakesdale,WA,99158,53075,Whitman County,5305,53009,53009,2017-2018
Oakesdale High School,Oakesdale,WA,99158,53075,Whitman County,5305,53009,53009,2017-2018
Oakville High School,OAKVILLE,WA,98568,53027,Grays Harbor County,5306,53019,53019,2017-2018
Oakville Elementary,OAKVILLE,WA,98568,53027,Grays Harbor County,5306,53019,53019,2017-2018
Hilltop School,Ilwaco,WA,98624,53049,Pacific County,5303,53019,53019,2017-2018
Long Beach Elementary School,Long Beach,WA,98631,53049,Pacific County,5303,53019,53019,2017-2018
Ilwaco High School,Ilwaco,WA,98624,53049,Pacific County,5303,53019,53019,2017-2018
Ocean Park Elementary,OCEAN PARK,WA,98640,53049,Pacific County,5303,53019,53019,2017-2018
Ocean Beach Early Childhood Center,Long Beach,WA,98631,53049,Pacific County,5303,53019,53019,2017-2018
Ocean Beach Alternative School,Ilwaco,WA,98624,53049,Pacific County,5303,53019,53019,2017-2018
Ocosta Elementary School,Westport,WA,98595,53027,Grays Harbor County,5306,53019,53019,2017-2018
Ocosta Junior - Senior High,Westport,WA,98595,53027,Grays Harbor County,5306,53019,53019,2017-2018
P C Jantz Elementary,ODESSA,WA,99159,53043,Lincoln County,5305,53013,53013,2017-2018
Odessa High School,ODESSA,WA,99159,53043,Lincoln County,5305,53013,53013,2017-2018
Grainger Elementary,Okanogan,WA,98840,53047,Okanogan County,5304,53007,53007,2017-2018
Okanogan High School,Okanogan,WA,98840,53047,Okanogan County,5304,53007,53007,2017-2018
Okanogan Co Juvenile Detention,OKANOGAN,WA,98840,53047,Okanogan County,5304,53007,53007,2017-2018
Okanogan Alternative High School,Okanogan,WA,98840,53047,Okanogan County,5304,53007,53007,2017-2018
Okanogan Middle School,Okanogan,WA,98840,53047,Okanogan County,5304,53007,53007,2017-2018
Okanogan Outreach Alternative School,Okanogan,WA,98840,53047,Okanogan County,5304,53007,53007,2017-2018
Boston Harbor Elementary,OLYMPIA,WA,98506,53067,Thurston County,5310,53022,53022,2017-2018
Capital High School,OLYMPIA,WA,98502,53067,Thurston County,5310,53022,53022,2017-2018
Garfield Elementary School,OLYMPIA,WA,98502,53067,Thurston County,5310,53022,53022,2017-2018
Jefferson Middle School,OLYMPIA,WA,98502,53067,Thurston County,5310,53022,53022,2017-2018
Leland P Brown Elementary,OLYMPIA,WA,98502,53067,Thurston County,5310,53022,53022,2017-2018
Madison Elementary School,OLYMPIA,WA,98501,53067,Thurston County,5310,53022,53022,2017-2018
McLane Elementary School,OLYMPIA,WA,98502,53067,Thurston County,5310,53022,53022,2017-2018
Pioneer Elementary School,OLYMPIA,WA,98501,53067,Thurston County,5310,53022,53022,2017-2018
Roosevelt Elementary School,OLYMPIA,WA,98506,53067,Thurston County,5310,53022,53022,2017-2018
Washington Middle School,OLYMPIA,WA,98501,53067,Thurston County,5310,53022,53022,2017-2018
Reeves Middle School,OLYMPIA,WA,98506,53067,Thurston County,5310,53022,53022,2017-2018
Olympia High School,OLYMPIA,WA,98501,53067,Thurston County,5310,53022,53022,2017-2018
McKenny Elementary,OLYMPIA,WA,98501,53067,Thurston County,5310,53022,53022,2017-2018
Lincoln Elementary School,OLYMPIA,WA,98501,53067,Thurston County,5310,53022,53022,2017-2018
Julia Butler Hansen Elementary,OLYMPIA,WA,98502,53067,Thurston County,5310,53022,53022,2017-2018
Thurgood Marshall Middle School,OLYMPIA,WA,98502,53067,Thurston County,5310,53022,53022,2017-2018
Centennial Elementary Olympia,OLYMPIA,WA,98501,53067,Thurston County,5310,53035,53035,2017-2018
Avanti High School,OLYMPIA,WA,98501,53067,Thurston County,5310,53022,53022,2017-2018
Olympia Regional Learning Academy,Olympia,WA,98501,53067,Thurston County,5310,53022,53022,2017-2018
Olympia Regional Learning Academy - Montessori School,Olympia,WA,98501,53067,Thurston County,5310,53022,53022,2017-2018
Touchstone,Olympia,WA,98506,53067,Thurston County,5310,53022,53022,2017-2018
E Omak Elementary,OMAK,WA,98841,53047,Okanogan County,5304,53007,53007,2017-2018
N Omak Elementary,OMAK,WA,98841,53047,Okanogan County,5304,53007,53007,2017-2018
Omak High School,OMAK,WA,98841,53047,Okanogan County,5304,53007,53007,2017-2018
Omak Middle School,OMAK,WA,98841,53047,Okanogan County,5304,53007,53007,2017-2018
Highlands High School,OMAK,WA,98841,53047,Okanogan County,5304,53007,53007,2017-2018
Washington Virtual Academy Omak Elementary,Omak,WA,98841,53047,Okanogan County,5304,53007,53007,2017-2018
Washington Virtual Academy Omak High School,Omak,WA,98841,53047,Okanogan County,5304,53007,53007,2017-2018
Washington Virtual Academy Omak Middle School,Omak,WA,98841,53047,Okanogan County,5304,53007,53007,2017-2018
Onalaska Elementary School,Onalaska,WA,98570,53041,Lewis County,5303,53020,53020,2017-2018
Onalaska High School,Onalaska,WA,98570,53041,Lewis County,5303,53020,53020,2017-2018
Onalaska Middle School,Onalaska,WA,98570,53041,Lewis County,5303,53020,53020,2017-2018
CVA - Onalaska,Onalaska,WA,98570,53041,Lewis County,5303,53020,53020,2017-2018
Onion Creek Elementary,Colville,WA,99114,53065,Stevens County,5305,53007,53007,2017-2018
Orcas Island Elementary School,EASTSOUND,WA,98245,53055,San Juan County,5302,53040,53040,2017-2018
Orcas Island High School,EASTSOUND,WA,98245,53055,San Juan County,5302,53040,53040,2017-2018
Waldron Island School,WALDRON ISLAND,WA,98297,53055,San Juan County,5302,53040,53040,2017-2018
Orcas Island Middle School,EASTSOUND,WA,98245,53055,San Juan County,5302,53040,53040,2017-2018
OASIS K-12,EASTSOUND,WA,98245,53055,San Juan County,5302,53040,53040,2017-2018
Orchard Prairie Elementary,Spokane,WA,99217,53063,Spokane County,5305,53004,53004,2017-2018
Orient Elem,ORIENT,WA,99160,53019,Ferry County,5305,53007,53007,2017-2018
Columbia Virtual Academy-Orient,Orient,WA,99160,53019,Ferry County,5305,53007,53007,2017-2018
Orondo Elementary and Middle School,ORONDO,WA,98843,53017,Douglas County,5304,53012,53012,2017-2018
Oroville Elementary,Oroville,WA,98844,53047,Okanogan County,5304,53007,53007,2017-2018
Oroville Middle-High School,Oroville,WA,98844,53047,Okanogan County,5304,53007,53007,2017-2018
Orting Primary School,Orting,WA,98360,53053,Pierce County,5308,53002,53002,2017-2018
Orting High School,Orting,WA,98360,53053,Pierce County,5308,53002,53002,2017-2018
Orting Middle School,Orting,WA,98360,53053,Pierce County,5308,53002,53002,2017-2018
Ptarmigan Ridge Elementary School,Orting,WA,98360,53053,Pierce County,5308,53002,53002,2017-2018
Orting Special Education,Orting,WA,98360,53053,Pierce County,5308,53002,53002,2017-2018
Hiawatha Elementary School,Othello,WA,99344,53001,Adams County,5304,53009,53009,2017-2018
Lutacaga Elementary,Othello,WA,99344,53001,Adams County,5304,53009,53009,2017-2018
McFarland Middle School,Othello,WA,99344,53001,Adams County,5304,53009,53009,2017-2018
Othello High School,Othello,WA,99344,53001,Adams County,5304,53009,53009,2017-2018
Scootney Springs Elementary,Othello,WA,99344,53001,Adams County,5304,53009,53009,2017-2018
Wahitis Elementary School,Othello,WA,99344,53001,Adams County,5304,53009,53009,2017-2018
Desert Oasis High School,Othello,WA,99344,53001,Adams County,5304,53009,53009,2017-2018
Palisades Elementary School,Palisades,WA,98845,53017,Douglas County,5304,53012,53012,2017-2018
Palouse High School,Palouse,WA,99161,53075,Whitman County,5305,53009,53009,2017-2018
Palouse Elementary,Palouse,WA,99161,53075,Whitman County,5305,53009,53009,2017-2018
Palouse at Garfield Middle School,Palouse,WA,99161,53075,Whitman County,5305,53009,53009,2017-2018
Edwin Markham Elementary,PASCO,WA,99301,53021,Franklin County,5304,53009,53009,2017-2018
Emerson Elementary,PASCO,WA,99301,53021,Franklin County,5304,53016,53016,2017-2018
Longfellow Elementary,PASCO,WA,99301,53021,Franklin County,5304,53016,53016,2017-2018
Mark Twain Elementary,PASCO,WA,99301,53021,Franklin County,5304,53016,53016,2017-2018
Mcloughlin Middle School,PASCO,WA,99301,53021,Franklin County,5304,53009,53009,2017-2018
New Horizons High School,PASCO,WA,99301,53021,Franklin County,5304,53016,53016,2017-2018
Pasco Senior High School,PASCO,WA,99301,53021,Franklin County,5304,53016,53016,2017-2018
Robert Frost Elementary,PASCO,WA,99301,53021,Franklin County,5304,53016,53016,2017-2018
Ruth Livingston Elementary,PASCO,WA,99301,53021,Franklin County,5304,53009,53009,2017-2018
Stevens Middle School,PASCO,WA,99301,53021,Franklin County,5304,53016,53016,2017-2018
James McGee Elementary,PASCO,WA,99301,53021,Franklin County,5304,53009,53009,2017-2018
Whittier Elementary,PASCO,WA,99301,53021,Franklin County,5304,53016,53016,2017-2018
Rowena Chess Elementary,PASCO,WA,99301,53021,Franklin County,5304,53016,53016,2017-2018
Ellen Ochoa Middle School,PASCO,WA,99301,53021,Franklin County,5304,53016,53016,2017-2018
Maya Angelou Elementary,Pasco,WA,99301,53021,Franklin County,5304,53009,53009,2017-2018
Virgie Robinson Elementary,Pasco,WA,99301,53021,Franklin County,5304,53016,53016,2017-2018
Pasco Early Childhood,Pasco,WA,99301,53021,Franklin County,5304,53016,53016,2017-2018
Chiawana High School,Pasco,WA,99301,53021,Franklin County,5304,53009,53009,2017-2018
Rosalind Franklin STEM Elementary,Pasco,WA,99301,53021,Franklin County,5304,53009,53009,2017-2018
