NAME,CITY,STATE,ZIP,CNTY,NMCNTY,CD,SLDL,SLDU,SCHOOLYEAR
Woodridge Elementary,Bellevue,WA,98005,53033,King County,5309,53041,53041,2017-2018
International School,Bellevue,WA,98005,53033,King County,5309,53041,53041,2017-2018
Bellevue Big Picture School,Bellevue,WA,98007,53033,King County,5309,53048,53048,2017-2018
Central Educational Services,Bellevue,WA,98005,53033,King County,5309,53041,53041,2017-2018
Jing Mei Elementary School,Bellevue,WA,98006,53033,King County,5309,53041,53041,2017-2018
Grad Alliance Program,BELLEVUE,WA,98005,53033,King County,5309,53041,53041,2017-2018
Alderwood Elementary School,Bellingham,WA,98225,53073,Whatcom County,5301,53042,53042,2017-2018
Bellingham High School,Bellingham,WA,98225,53073,Whatcom County,5302,53042,53042,2017-2018
Birchwood Elementary School,Bellingham,WA,98225,53073,Whatcom County,5302,53042,53042,2017-2018
Carl Cozier Elementary School,Bellingham,WA,98229,53073,Whatcom County,5302,53040,53040,2017-2018
Columbia Elementary School,Bellingham,WA,98225,53073,Whatcom County,5302,53042,53042,2017-2018
Fairhaven Middle School,Bellingham,WA,98225,53073,Whatcom County,5302,53040,53040,2017-2018
Geneva Elementary School,Bellingham,WA,98229,53073,Whatcom County,5302,53040,53040,2017-2018
Happy Valley Elementary School,Bellingham,WA,98225,53073,Whatcom County,5302,53040,53040,2017-2018
Lowell Elementary School,Bellingham,WA,98225,53073,Whatcom County,5302,53040,53040,2017-2018
Parkview Elementary School,Bellingham,WA,98225,53073,Whatcom County,5302,53042,53042,2017-2018
Roosevelt Elementary School,Bellingham,WA,98226,53073,Whatcom County,5302,53042,53042,2017-2018
Sehome High School,Bellingham,WA,98225,53073,Whatcom County,5302,53040,53040,2017-2018
Shuksan Middle School,Bellingham,WA,98225,53073,Whatcom County,5302,53042,53042,2017-2018
Silver Beach Elementary School,Bellingham,WA,98226,53073,Whatcom County,5302,53040,53040,2017-2018
Sunnyland Elementary School,Bellingham,WA,98226,53073,Whatcom County,5302,53042,53042,2017-2018
Whatcom Middle School,Bellingham,WA,98225,53073,Whatcom County,5302,53042,53042,2017-2018
Options High School,Bellingham,WA,98225,53073,Whatcom County,5302,53042,53042,2017-2018
Kulshan Middle School,Bellingham,WA,98229,53073,Whatcom County,5302,53040,53040,2017-2018
Home Port Learning Center,Bellingham,WA,98225,53073,Whatcom County,5302,53042,53042,2017-2018
Squalicum High School,Bellingham,WA,98226,53073,Whatcom County,5302,53042,53042,2017-2018
Visions (Seamar Youth Center),Bellingham,WA,98226,53073,Whatcom County,5302,53042,53042,2017-2018
Northern Heights Elementary Schl,Bellingham,WA,98226,53073,Whatcom County,5302,53042,53042,2017-2018
Wade King Elementary School,Bellingham,WA,98229,53073,Whatcom County,5302,53040,53040,2017-2018
Cordata Elementary School,Bellingham,WA,98226,53073,Whatcom County,5302,53042,53042,2017-2018
Bellingham Family Partnership Program,Bellingham,WA,98225,53073,Whatcom County,5302,53040,53040,2017-2018
Bellingham Re-Engagement Program,Bellingham,WA,98225,53073,Whatcom County,5302,53042,53042,2017-2018
Benge Elementary,BENGE,WA,99105,53001,Adams County,5304,53009,53009,2017-2018
Bethel High School,Spanaway,WA,98387,53053,Pierce County,5310,53028,53028,2017-2018
Bethel Middle School,Spanaway,WA,98387,53053,Pierce County,5310,53028,53028,2017-2018
Chester H Thompson Elementary,TACOMA,WA,98445,53053,Pierce County,5310,53029,53029,2017-2018
Clover Creek Elementary,Tacoma,WA,98446,53053,Pierce County,5310,53029,53029,2017-2018
Elk Plain School of Choice,Spanaway,WA,98397,53053,Pierce County,5310,53028,53028,2017-2018
Kapowsin Elementary,Graham,WA,98338,53053,Pierce County,5308,53002,53002,2017-2018
Roy Elementary,ROY,WA,98580,53053,Pierce County,5310,53002,53002,2017-2018
Spanaway Elementary,Spanaway,WA,98387,53053,Pierce County,5310,53029,53029,2017-2018
Spanaway Middle School,Tacoma,WA,98445,53053,Pierce County,5310,53029,53029,2017-2018
Frontier Middle School,Graham,WA,98338,53053,Pierce County,5308,53002,53002,2017-2018
Evergreen Elementary,Spanaway,WA,98387,53053,Pierce County,5310,53029,53029,2017-2018
Naches Trail Elementary,Tacoma,WA,98446,53053,Pierce County,5310,53029,53029,2017-2018
Shining Mountain Elementary,Spanaway,WA,98387,53053,Pierce County,5310,53028,53028,2017-2018
Cedarcrest Middle School,Spanaway,WA,98387,53053,Pierce County,5310,53029,53029,2017-2018
Spanaway Lake High School,Spanaway,WA,98387,53053,Pierce County,5310,53029,53029,2017-2018
Rocky Ridge Elementary,Graham,WA,98338,53053,Pierce County,5308,53002,53002,2017-2018
Challenger High School,Spanaway,WA,98387,53053,Pierce County,5310,53029,53029,2017-2018
Camas Prairie Elementary,Spanaway,WA,98387,53053,Pierce County,5310,53029,53029,2017-2018
Graham Elementary,Graham,WA,98338,53053,Pierce County,5310,53002,53002,2017-2018
Centennial Elementary Bethel,Graham,WA,98338,53053,Pierce County,5308,53028,53028,2017-2018
Shining Mountain Preschool,Spanaway,WA,98387,53053,Pierce County,5310,53028,53028,2017-2018
Pioneer Valley Elementary,Spanaway,WA,98387,53053,Pierce County,5310,53002,53002,2017-2018
North Star Elementary,Graham,WA,98338,53053,Pierce County,5310,53002,53002,2017-2018
SpEd Preschool,Tacoma,WA,98445,53053,Pierce County,5310,53029,53029,2017-2018
Graham Kapowsin High School,Graham,WA,98338,53053,Pierce County,5308,53002,53002,2017-2018
Thompson Preschool,Tacoma,WA,98445,53053,Pierce County,5310,53029,53029,2017-2018
Pioneer Valley Preschool,Spanaway,WA,98387,53053,Pierce County,5310,53002,53002,2017-2018
Elk Plain Head Start,Spanaway,WA,98387,53053,Pierce County,5310,53028,53028,2017-2018
Cougar Mountain Middle School,Graham,WA,98338,53053,Pierce County,5308,53002,53002,2017-2018
ECEAP W,Tacoma,WA,98445,53053,Pierce County,5310,53029,53029,2017-2018
Spanaway Elementary Preschool,Spanaway,WA,98387,53053,Pierce County,5310,53029,53029,2017-2018
Spanaway Elementary ECEAP,Spanaway,WA,98387,53053,Pierce County,5310,53029,53029,2017-2018
Frederickson Elementary,PUYALLUP,WA,98375,53053,Pierce County,5310,53002,53002,2017-2018
Pierce County Skills Center,Puyallup,WA,98375,53053,Pierce County,5310,53002,53002,2017-2018
Nelson Elementary School,Graham,WA,98375,53053,Pierce County,5308,53002,53002,2017-2018
Liberty Middle School,Spanaway,WA,98387,53053,Pierce County,5310,53002,53002,2017-2018
Birth to Three,Tacoma,WA,98445,53053,Pierce County,5310,53029,53029,2017-2018
Acceleration Academy,Spanaway,WA,98387,53053,Pierce County,5310,53029,53029,2017-2018
Bethel Elementary Learning Academy,Puyallup,WA,98375,53053,Pierce County,5310,53002,53002,2017-2018
Bickleton Elementary & High Schl,Bickleton,WA,99322,53039,Klickitat County,5303,53014,53014,2017-2018
Blaine Elementary School,BLAINE,WA,98230,53073,Whatcom County,5301,53042,53042,2017-2018
Blaine Middle School,BLAINE,WA,98230,53073,Whatcom County,5301,53042,53042,2017-2018
Blaine High School,BLAINE,WA,98230,53073,Whatcom County,5301,53042,53042,2017-2018
Point Roberts Primary,POINT ROBERTS,WA,98281,53073,Whatcom County,5301,53042,53042,2017-2018
Blaine Primary School,BLAINE,WA,98230,53073,Whatcom County,5301,53042,53042,2017-2018
Blaine Home Connections,Blaine,WA,98230,53073,Whatcom County,5301,53042,53042,2017-2018
Blaine Re-Engagement,Bellingham,WA,98225,53073,Whatcom County,5302,53042,53042,2017-2018
Boistfort Elem,Curtis,WA,98538,53041,Lewis County,5303,53019,53019,2017-2018
Armin Jahr Elementary,Bremerton,WA,98310,53035,Kitsap County,5306,53023,53023,2017-2018
Crownhill Elementary School,Bremerton,WA,98312,53035,Kitsap County,5306,53035,53035,2017-2018
Bremerton High School,Bremerton,WA,98337,53035,Kitsap County,5306,53026,53026,2017-2018
Naval Avenue Elementary School,Bremerton,WA,98312,53035,Kitsap County,5306,53026,53026,2017-2018
West Hills S.T.E.M. Academy,Bremerton,WA,98312,53035,Kitsap County,5306,53026,53026,2017-2018
View Ridge Elementary School,Bremerton,WA,98310,53035,Kitsap County,5306,53023,53023,2017-2018
Kitsap Lake Elementary,Bremerton,WA,98312,53035,Kitsap County,5306,53035,53035,2017-2018
Mountain View Middle School,Bremerton,WA,98310,53035,Kitsap County,5306,53023,53023,2017-2018
Morgan Center School,Bremerton,WA,98337,53035,Kitsap County,5306,53026,53026,2017-2018
West Sound Technical Skills Center,Bremerton,WA,98312,53035,Kitsap County,5306,53026,53026,2017-2018
Renaissance Alternative High School,Bremerton,WA,98312,53035,Kitsap County,5306,53026,53026,2017-2018
Bremerton Home Link Program,Bremerton,WA,98312,53035,Kitsap County,5306,53035,53035,2017-2018
Special Services,Bremerton,WA,98312,53035,Kitsap County,5306,53026,53026,2017-2018
Career & Academic Re-engagement Center,Bremerton,WA,98312,53035,Kitsap County,5306,53026,53026,2017-2018
Brewster Elementary School,BREWSTER,WA,98812,53047,Okanogan County,5304,53012,53012,2017-2018
Brewster High School,BREWSTER,WA,98812,53047,Okanogan County,5304,53012,53012,2017-2018
Brewster Middle School,BREWSTER,WA,98812,53047,Okanogan County,5304,53012,53012,2017-2018
Brewster Alternative School,Brewster,WA,98812,53047,Okanogan County,5304,53012,53012,2017-2018
Bridgeport Elementary,BRIDGEPORT,WA,98813,53017,Douglas County,5304,53012,53012,2017-2018
Bridgeport High School,BRIDGEPORT,WA,98813,53017,Douglas County,5304,53012,53012,2017-2018
Bridgeport Middle School,Bridgeport,WA,98813,53017,Douglas County,5304,53012,53012,2017-2018
Bridgeport Aurora High School,BRIDGEPORT,WA,98813,53017,Douglas County,5304,53012,53012,2017-2018
Brinnon Elementary,BRINNON,WA,98320,53031,Jefferson County,5306,53024,53024,2017-2018
Allen Elementary,BOW,WA,98232,53057,Skagit County,5302,53010,53010,2017-2018
Burlington Edison High School,BURLINGTON,WA,98233,53057,Skagit County,5302,53040,53040,2017-2018
Edison Elementary - Burlington/Edison,EDISON,WA,98232,53057,Skagit County,5302,53040,53040,2017-2018
Lucille Umbarger Elementary,BURLINGTON,WA,98233,53057,Skagit County,5302,53040,53040,2017-2018
West View Elementary,BURLINGTON,WA,98233,53057,Skagit County,5302,53040,53040,2017-2018
Bay View Elementary,BURLINGTON,WA,98233,53057,Skagit County,5302,53010,53010,2017-2018
BECC,BURLINGTON,WA,98233,53057,Skagit County,5302,53040,53040,2017-2018
Burlington-Edison Alternative School,Burlington,WA,98233,53057,Skagit County,5302,53040,53040,2017-2018
Lacamas Heights Elementary,Camas,WA,98607,53011,Clark County,5303,53018,53018,2017-2018
Dorothy Fox,Camas,WA,98607,53011,Clark County,5303,53018,53018,2017-2018
Helen Baller Elem,Camas,WA,98607,53011,Clark County,5303,53018,53018,2017-2018
Skyridge Middle School,Camas,WA,98607,53011,Clark County,5303,53018,53018,2017-2018
Prune Hill Elem,Camas,WA,98607,53011,Clark County,5303,53018,53018,2017-2018
Liberty Middle School,Camas,WA,98607,53011,Clark County,5303,53018,53018,2017-2018
Papermaker Preschool,Camas,WA,98607,53011,Clark County,5303,53018,53018,2017-2018
Camas High School,Camas,WA,98607,53011,Clark County,5303,53018,53018,2017-2018
