statecoursecodeid,code,name,CS_Courses
339,5154,Creative Art-Comprehensive 05154,no
340,5155,Creative Art-Drawing/Painting 05155,no
341,5156,Creative Art-Drawing 05156,no
342,5157,Creative Art-Painting 05157,no
343,5158,Creative Art-Sculpture 05158,no
344,5159,Ceramics/Pottery 05159,no
345,5160,Printmaking/Graphics 05160,no
346,5161,Printmaking 05161,no
347,5162,Graphic Design 05162,no
348,5163,Advertising Design 05163,no
349,5164,Textiles 05164,no
350,5165,Crafts 05165,no
351,5166,Jewelry 05166,no
352,5167,Photography 05167,no
353,5168,Film/Videotape 05168,no
354,5169,Computer-Assisted Art 05169,no
355,5170,Art Portfolio 05170,no
356,5171,AP Studio Art-General Portfolio 05171,no
357,5172,AP Studio Art-Drawing Portfolio 05172,no
358,5173,IB Art/Design 05173,no
359,5197,Visual Arts-Independent Study 05197,no
360,5198,Visual Arts-Workplace Experience 05198,no
361,5199,Visual Arts-Other 05199,no
362,5201,Integrated Fine Arts 05201,no
363,5995,Fine and Performing Art-Aide 05995,no
364,5997,Fine and Performing Art-Independent Study 05997,no
365,5998,Fine and Performing Art-Workplace Experience 05998,no
366,5999,Fine and Performing Art-Other 05999,no
367,6101,Spanish I 06101,no
368,6102,Spanish II 06102,no
369,6103,Spanish III 06103,no
370,6104,Spanish IV 06104,no
371,6105,Spanish V 06105,no
372,6106,Spanish for Native Speakers 06106,no
373,6107,Spanish Field Experience 06107,no
374,6108,Spanish Conversation and Culture 06108,no
375,6109,Spanish Literature 06109,no
376,6110,IB Language A (non-English)-Spanish 06110,no
377,6111,IB Language B-Spanish 06111,no
378,6112,AP Spanish Language 06112,no
379,6113,AP Spanish Literature 06113,no
380,6121,French I 06121,no
381,6122,French II 06122,no
382,6123,French III 06123,no
383,6124,French IV 06124,no
384,6125,French V 06125,no
385,6126,French for Native Speakers 06126,no
386,6127,French Field Experience 06127,no
387,6128,French Conversation and Culture 06128,no
388,6129,French Literature 06129,no
389,6130,IB Language A (non-English)-French 06130,no
390,6131,IB Language B-French 06131,no
391,6132,AP French Language 06132,no
392,6133,AP French Literature 06133,no
393,6141,Italian I 06141,no
394,6142,Italian II 06142,no
395,6143,Italian III 06143,no
396,6144,Italian IV 06144,no
397,6145,Italian V 06145,no
398,6146,Italian for Native Speakers 06146,no
399,6147,Italian Field Experience 06147,no
400,6148,Italian Conversation and Culture 06148,no
401,6149,Italian Literature 06149,no
402,6150,IB Language A (non-English)-Italian 06150,no
403,6151,IB Language B-Italian 06151,no
404,6161,Portuguese I 06161,no
405,6162,Portuguese II 06162,no
406,6163,Portuguese III 06163,no
407,6164,Portuguese IV 06164,no
408,6165,Portuguese V 06165,no
409,6166,Portuguese for Native Speakers 06166,no
410,6167,Portuguese Field Experience 06167,no
411,6168,Portuguese Conversation and Culture 06168,no
412,6169,Portuguese Literature 06169,no
413,6170,IB Language A (non-English)-Portuguese 06170,no
414,6171,IB Language B-Portuguese 06171,no
415,6181,Romance/Italic Language I 06181,no
416,6182,Romance/Italic Language II 06182,no
417,6183,Romance/Italic Language III 06183,no
418,6184,Romance/Italic Language IV 06184,no
419,6185,Romance/Italic Language V 06185,no
420,6186,Romance/Italic Language for Native Speakers 06186,no
421,6187,Romance/Italic Language Field Experience 06187,no
422,6188,Romance/Italic Language Conversation and Culture 06188,no
423,6189,Romance/Italic Literature 06189,no
424,6190,IB Language A (non-English)-Romance/Italic Language 06190,no
425,6191,IB Language B-Romance/Italic Language 06191,no
426,6199,Romance/Italic Language-Other 06199,no
427,6201,German I 06201,no
428,6202,German II 06202,no
429,6203,German III 06203,no
430,6204,German IV 06204,no
431,6205,German V 06205,no
432,6206,German for Native Speakers 06206,no
433,6207,German Field Experience 06207,no
434,6208,German Conversation and Culture 06208,no
435,6209,German Literature 06209,no
436,6210,IB Language A (non-English)-German 06210,no
437,6211,IB Language B-German 06211,no
438,6212,AP German Language 06212,no
439,6241,Germanic Language I 06241,no
440,6242,Germanic Language II 06242,no
441,6243,Germanic Language III 06243,no
442,6244,Germanic Language IV 06244,no
443,6245,Germanic Language V 06245,no
444,6246,Germanic Language for Native Speakers 06246,no
445,6247,Germanic Language Field Experience 06247,no
446,6248,Germanic Language Conversation and Culture 06248,no
447,6249,Germanic Literature 06249,no
448,6250,IB Language A (non-English)-Germanic Language 06250,no
449,6251,IB Language B-Germanic Language 06251,no
450,6259,Germanic Language-Other 06259,no
451,6261,Celtic Language I 06261,no
452,6262,Celtic Language II 06262,no
453,6263,Celtic Language III 06263,no
454,6264,Celtic Language IV 06264,no
455,6265,Celtic Language V 06265,no
456,6266,Celtic Language for Native Speakers 06266,no
457,6267,Celtic Language Field Experience 06267,no
458,6268,Celtic Language Conversation and Culture 06268,no
459,6269,Celtic Literature 06269,no
460,6270,IB Language A (non-English)-Celtic Language 06270,no
461,6271,IB Language B-Celtic Language 06271,no
462,6279,Celtic Language-Other 06279,no
463,6281,Greek I 06281,no
464,6282,Greek II 06282,no
465,6283,Greek III 06283,no
466,6284,Greek IV 06284,no
467,6285,Greek V 06285,no
468,6286,Greek for Native Speakers 06286,no
469,6287,Greek Field Experience 06287,no
470,6288,Greek Conversation and Culture 06288,no
471,6289,Greek Literature 06289,no
472,6290,IB Language A (non-English)-Greek 06290,no
473,6291,IB Language B-Greek 06291,no
474,6299,Greek-Other 06299,no
475,6301,Latin I 06301,no
476,6302,Latin II 06302,no
477,6303,Latin III 06303,no
478,6304,Latin IV 06304,no
479,6305,Latin V 06305,no
480,6311,IB Classical Languages-Latin 06311,no
481,6313,"AP Latin (Virgil, Catullus and Horace) 06313",no
482,6321,Classical Greek I 06321,no
483,6322,Classical Greek II 06322,no
484,6323,Classical Greek III 06323,no
485,6324,Classical Greek IV 06324,no
486,6325,Classical Greek V 06325,no
487,6331,IB Classical Languages-Greek 06331,no
488,6359,Classical Languages-Other 06359,no
489,6401,Chinese I 06401,no
490,6402,Chinese II 06402,no
491,6403,Chinese III 06403,no
492,6404,Chinese IV 06404,no
493,6405,Chinese V 06405,no
494,6406,Chinese for Native Speakers 06406,no
495,6407,Chinese Field Experience 06407,no
496,6408,Chinese Conversation and Culture 06408,no
497,6409,Chinese Literature 06409,no
498,6410,IB Language A (non-English)-Chinese 06410,no
499,6411,IB Language B-Chinese 06411,no
500,6421,Japanese I 06421,no
501,6422,Japanese II 06422,no
502,6423,Japanese III 06423,no
503,6424,Japanese IV 06424,no
504,6425,Japanese V 06425,no
505,6426,Japanese for Native Speakers 06426,no
506,6427,Japanese Field Experience 06427,no
507,6428,Japanese Conversation and Culture 06428,no
508,6429,Japanese Literature 06429,no
509,6430,IB Language A (non-English)-Japanese 06430,no
510,6431,IB Language B-Japanese 06431,no
511,6441,Korean I 06441,no
512,6442,Korean II 06442,no
513,6443,Korean III 06443,no
514,6444,Korean IV 06444,no
515,6445,Korean V 06445,no
516,6446,Korean for Native Speakers 06446,no
517,6447,Korean Field Experience 06447,no
518,6448,Korean Conversation and Culture 06448,no
519,6449,Korean Literature 06449,no
520,6450,IB Language A (non-English)-Korean 06450,no
521,6451,IB Language B-Korean 06451,no
522,6481,East Asian Language I 06481,no
523,6482,East Asian Language II 06482,no
524,6483,East Asian Language III 06483,no
525,6484,East Asian Language IV 06484,no
526,6485,East Asian Language V 06485,no
527,6486,East Asian Language for Native Speakers 06486,no
528,6487,East Asian Language Field Experience 06487,no
529,6488,East Asian Language Conversation and Culture 06488,no
530,6489,East Asian Literature 06489,no
531,6490,IB Language A (non-English)-East Asian Language 06490,no
532,6491,IB Language B-East Asian Language 06491,no
533,6499,East Asian Language-Other 06499,no
534,6501,Vietnamese I 06501,no
535,6502,Vietnamese II 06502,no
536,6503,Vietnamese III 06503,no
537,6504,Vietnamese IV 06504,no
538,6505,Vietnamese V 06505,no
539,6506,Vietnamese for Native Speakers 06506,no
540,6507,Vietnamese Field Experience 06507,no
541,6508,Vietnamese Conversation and Culture 06508,no
542,6509,Vietnamese Literature 06509,no
543,6510,IB Language A (non-English)-Vietnamese 06510,no
544,6511,IB Language B-Vietnamese 06511,no
545,6521,Filipino I 06521,no
546,6522,Filipino II 06522,no
547,6523,Filipino III 06523,no
548,6524,Filipino IV 06524,no
549,6525,Filipino V 06525,no
550,6526,Filipino for Native Speakers 06526,no
551,6527,Filipino Field Experience 06527,no
552,6528,Filipino Conversation and Culture 06528,no
553,6529,Filipino Literature 06529,no
554,6530,IB Language A (non-English)-Filipino 06530,no
555,6531,IB Language B-Filipino 06531,no
556,6581,Southeast Asian Language I 06581,no
557,6582,Southeast Asian Language II 06582,no
558,6583,Southeast Asian Language III 06583,no
559,6584,Southeast Asian Language IV 06584,no
560,6585,Southeast Asian Language V 06585,no
561,6586,Southeast Asian Language for Native Speakers 06586,no
562,6587,Southeast Asian Language Field Experience 06587,no
